root_id,primary_type,additional_types,super_class,flow,side,nt_type,nt_type_score
720575940609715524,CB1587,LAL071,central,intrinsic,right,GABA,0.83
720575940636521562,IB066,,central,intrinsic,left,ACH,0.56
720575940611448243,CB2613,,central,intrinsic,left,ACH,0.76
720575940618593510,Mi4,,optic,intrinsic,right,GABA,0.89
720575940606879153,MLt4,,optic,intrinsic,right,ACH,0.81
720575940605328928,Mi4,,optic,intrinsic,right,GABA,0.88
720575940623738573,MLt1,,optic,intrinsic,right,ACH,0.83
720575940623702296,Tm5f,,optic,intrinsic,right,ACH,0.77
720575940618779294,CB2550,"SIP001, SIP002",central,intrinsic,left,ACH,0.84
720575940616844500,TmY5a,,optic,intrinsic,right,GLUT,0.66
720575940641425293,Li01,,optic,intrinsic,right,GLUT,0.8
720575940630198902,Tm5c,,optic,intrinsic,right,GLUT,0.74
720575940631443308,TmY5a,,optic,intrinsic,right,GLUT,0.66
720575940626614202,Tm9,,optic,intrinsic,right,ACH,0.8
720575940633034265,CB1529,"SMP363, SMP364",central,intrinsic,left,ACH,0.79
720575940612925078,vDeltaF,,central,intrinsic,left,ACH,0.7
720575940619560606,IB032,,central,intrinsic,left,GLUT,0.66
720575940619363544,Mi9,,optic,intrinsic,right,GLUT,0.57
720575940647087412,TmY5a,,optic,intrinsic,right,GLUT,0.6
720575940629784376,CB2118,SMP382,central,intrinsic,right,ACH,0.84
720575940622671437,WED031,,central,intrinsic,right,GABA,0.7
720575940607390421,LC13,,visual_projection,intrinsic,right,ACH,0.45
720575940618293406,JO-E,,sensory,afferent,right,,0.0
720575940612066600,CB1269,CL297,central,intrinsic,right,ACH,0.68
720575940632103251,LC10d,LC10,visual_projection,intrinsic,right,ACH,0.77
720575940619446181,CB1893,"PS283, PS286",central,intrinsic,right,GLUT,0.65
720575940626443526,CB1556,,central,intrinsic,left,GLUT,0.9
720575940638332494,JO-E,,sensory,afferent,right,ACH,0.78
720575940647079715,CB2118,SMP382,central,intrinsic,right,ACH,0.78
720575940611821078,CB2088,"SIP001, SIP002",central,intrinsic,left,ACH,0.88
720575940626951178,Mi9,,optic,intrinsic,right,GLUT,0.67
720575940627753103,CB3798,,central,intrinsic,left,GABA,0.58
720575940604824236,KCapbp-m,KCab-m,central,intrinsic,left,ACH,1.0
720575940623253223,CB1556,,central,intrinsic,left,GLUT,0.89
720575940627437841,CB2611,aSP31,central,intrinsic,left,GLUT,0.71
720575940616075147,s-CPDN3E,"CB2901, SLP266",central,intrinsic,right,GLUT,0.74
720575940624194509,Tm8a,,optic,intrinsic,right,ACH,0.84
720575940633929628,Mi4,,optic,intrinsic,right,GABA,0.86
720575940640115675,KCapbp-ap2,KCab-ap2,central,intrinsic,left,ACH,1.0
720575940617949861,hDeltaJ,,central,intrinsic,right,ACH,0.51
720575940618751552,Li01,,optic,intrinsic,left,GLUT,0.82
720575940612743958,KCapbp-ap1,KCab-ap1,central,intrinsic,left,ACH,1.0
720575940628013705,TmY10,,optic,intrinsic,left,ACH,0.88
720575940628166120,Li01,,optic,intrinsic,left,GLUT,0.73
720575940629938127,CL261b,CL261,central,intrinsic,left,ACH,0.81
720575940618180766,CB1263,,central,intrinsic,right,ACH,0.85
720575940635863407,Tm16,,optic,intrinsic,left,ACH,0.92
720575940620410606,KCapbp-ap2,KCab-ap2,central,intrinsic,right,ACH,1.0
720575940614775592,PAL01,,central,intrinsic,left,DA,0.69
720575940630727675,CB2266,,central,intrinsic,right,ACH,0.94
720575940628030972,,,ascending,afferent,left,,0.0
720575940629470736,s-CPDN3D,"CB2587, SMP219",central,intrinsic,left,GLUT,0.94
720575940614640424,Tm5e,,optic,intrinsic,right,GLUT,0.63
720575940605703596,Tm5e,,optic,intrinsic,right,GLUT,0.57
720575940629407020,AVLP570,pC2lc,central,intrinsic,left,ACH,0.86
720575940625210969,CB0997,LHAV2a2,central,intrinsic,right,ACH,0.92
720575940612821997,CB4171,FB2F_a,central,intrinsic,left,GLUT,0.95
720575940633164514,Tm5b,,optic,intrinsic,right,ACH,0.86
720575940617063654,Tlp5,,optic,intrinsic,right,GLUT,0.82
720575940658787457,Tm36,,optic,intrinsic,right,ACH,0.77
720575940642328628,Tm25,,optic,intrinsic,right,ACH,0.62
720575940633516513,Y1,,optic,intrinsic,right,GLUT,0.68
720575940607874761,SIP019,,central,intrinsic,left,ACH,0.89
720575940634704097,Li10,,optic,intrinsic,right,GLUT,0.69
720575940622115425,CB3539,,central,intrinsic,left,GLUT,0.84
720575940643339976,SLP405,,central,intrinsic,left,ACH,0.87
720575940612208602,Tm25,,optic,intrinsic,right,ACH,0.55
720575940603996081,SLP405,,central,intrinsic,right,,0.0
720575940610229717,CRE018,,central,intrinsic,left,ACH,0.75
720575940639075150,PAM10,,central,intrinsic,left,DA,0.83
720575940622091107,SIP078,SIP080,central,intrinsic,left,ACH,0.79
720575940619114525,SIP078,SIP080,central,intrinsic,right,,0.0
720575940612619059,SLP106,,central,intrinsic,left,GLUT,0.88
720575940628658939,CB2795,,central,intrinsic,left,GLUT,0.73
720575940637653605,FB8F_a,,central,intrinsic,left,GLUT,0.58
720575940630064195,CB1291,,central,intrinsic,right,ACH,0.77
720575940620000054,CB1225,,central,intrinsic,left,ACH,0.8
720575940617928768,CB1225,,central,intrinsic,left,ACH,0.86
720575940621958655,CB1225,,central,intrinsic,left,ACH,0.9
720575940632664928,CL089_b,,central,intrinsic,left,ACH,0.72
720575940633192076,CL089_b,,central,intrinsic,left,ACH,0.65
720575940620993712,WED124,,central,intrinsic,left,ACH,0.73
720575940614272362,CB1225,,central,intrinsic,right,ACH,0.83
720575940624479626,CB3868,CL280,central,intrinsic,left,ACH,0.94
720575940629985132,CB2612,AVLP003,central,intrinsic,right,GABA,0.7
720575940637658981,CB3093,"SMP363, SMP364",central,intrinsic,right,ACH,0.94
720575940618393925,CB3111,,central,intrinsic,right,ACH,0.92
720575940630651959,Li05,,optic,intrinsic,left,ACH,0.93
720575940629505283,Li05,,optic,intrinsic,left,ACH,0.93
720575940622649863,LC36,,visual_projection,intrinsic,left,ACH,0.82
720575940621771124,LC10b,LC10,visual_projection,intrinsic,left,ACH,0.93
720575940628457448,PFL3,,central,intrinsic,left,ACH,0.78
720575940637694517,PLP099,,central,intrinsic,left,ACH,0.64
720575940631292667,LT47,,visual_projection,intrinsic,left,ACH,0.68
720575940616292165,CB2785,aSP31,central,intrinsic,left,GLUT,0.83
720575940616998668,LC22,,visual_projection,intrinsic,left,ACH,0.86
720575940624789125,M_adPNm4,,central,intrinsic,right,ACH,0.92
720575940635507960,CB1079,,central,intrinsic,right,GABA,0.9
720575940625511403,Sm14,,optic,intrinsic,right,GLUT,0.65
720575940625067593,SMP590,,central,intrinsic,right,,0.0
720575940618755494,CB1701,"LHAV4e2_a, LHAV4e5",central,intrinsic,right,GABA,0.73
720575940603453286,M_adPNm5,,central,intrinsic,right,ACH,0.93
720575940620840368,M_lvPNm41,,central,intrinsic,left,ACH,0.95
720575940653332385,KCapbp-ap2,KCab-ap2,central,intrinsic,right,ACH,1.0
720575940628422479,SLP240_b,,central,intrinsic,right,ACH,0.79
720575940631416121,CB2415,,central,intrinsic,right,ACH,0.66
720575940636367076,CB2611,aSP31,central,intrinsic,right,GLUT,0.82
720575940631585644,CL090_a,,central,intrinsic,left,ACH,0.79
720575940624846517,WED125,,central,intrinsic,left,ACH,0.72
720575940626656010,SIP025,,central,intrinsic,right,ACH,0.78
720575940618842929,PAM09,,central,intrinsic,left,DA,0.68
720575940641006299,CB1085,"AVLP412, AVLP413, AVLP414",central,intrinsic,left,ACH,0.7
720575940626789392,PLP150c,PLP150,central,intrinsic,left,ACH,0.57
720575940621235988,LT64,,visual_projection,intrinsic,left,ACH,0.75
720575940627084905,AVLP244,aSP10a,central,intrinsic,right,ACH,0.88
720575940632556499,SMP249,,central,intrinsic,left,GLUT,0.75
720575940616546205,CB1200,"SIP051, SLP331",central,intrinsic,left,ACH,0.97
720575940624282099,CB1716,,central,intrinsic,left,,0.0
720575940655571617,IB022,,central,intrinsic,left,ACH,0.66
720575940604597536,LTe38a,PLP152,visual_projection,intrinsic,right,ACH,0.94
720575940639358579,PAM11,,central,intrinsic,right,DA,0.88
720575940622089174,LLPC2,"LLPC2a, LLPC2b, LLPC2c, LLPC2d",visual_projection,intrinsic,right,ACH,0.62
720575940615942506,DGI,,central,intrinsic,left,,0.0
720575940621418120,FR1,,central,intrinsic,right,,0.0
720575940620177543,CB3279,,central,intrinsic,left,GABA,0.81
720575940625385316,CL178,,central,intrinsic,right,GLUT,0.64
720575940613212050,CB2336,LHAV3n1,central,intrinsic,right,ACH,0.93
720575940611469738,CL090_c,,central,intrinsic,right,ACH,0.86
720575940630118927,SMP597,,central,intrinsic,left,ACH,0.85
720575940609713587,CB1207,"AVLP367, AVLP368",central,intrinsic,right,ACH,0.69
720575940632278189,CB1727,SMP196,central,intrinsic,left,ACH,0.83
720575940628391250,SLP065,,central,intrinsic,right,GABA,0.72
720575940614150567,SLP287,,central,intrinsic,right,GLUT,0.84
720575940625989732,CL100,,central,intrinsic,left,ACH,0.81
720575940631160111,CB3360,,central,intrinsic,right,GLUT,0.92
720575940644658711,LC13,,visual_projection,intrinsic,right,ACH,0.5
720575940646310947,pC1a,,central,intrinsic,left,ACH,0.8
720575940643653655,Tm5c,,optic,intrinsic,right,GLUT,0.62
720575940639730560,Y3,,optic,intrinsic,right,ACH,0.76
720575940617592660,Tm5d,,optic,intrinsic,right,,0.0
720575940622295773,Tm8a,,optic,intrinsic,right,ACH,0.88
720575940629191409,Tm5c,,optic,intrinsic,right,,0.0
720575940613671889,Tm8a,,optic,intrinsic,right,ACH,0.89
720575940611554673,Tm3,,optic,intrinsic,right,ACH,0.63
720575940640620240,Tm4,,optic,intrinsic,right,ACH,0.67
720575940623445580,Tm4,,optic,intrinsic,right,ACH,0.77
720575940629154545,LC34,,visual_projection,intrinsic,right,ACH,0.8
720575940640337205,Tm8b,,optic,intrinsic,right,ACH,0.85
720575940653866401,AVLP121,,central,intrinsic,left,ACH,0.91
720575940612523470,CB1738,AVLP279,central,intrinsic,left,ACH,0.57
720575940626016549,CB2241,,central,intrinsic,right,ACH,0.83
720575940636504553,AVLP009,"aSP8, AVLP_pr02, aSP8a",central,intrinsic,right,GABA,0.67
720575940619583749,AVLP009,"AVLP_pr02, aSP8a",central,intrinsic,right,GABA,0.65
720575940627354372,CB1476,,central,intrinsic,right,ACH,0.84
720575940630707795,CB2903,aIP2,central,intrinsic,right,ACH,0.79
720575940611855224,CB2652,CL354,central,intrinsic,right,GLUT,0.67
720575940612889713,CL073,,central,intrinsic,left,ACH,0.6
720575940607627275,CB2930,aIP2,central,intrinsic,right,ACH,0.88
720575940622929643,AVLP232,,central,intrinsic,right,ACH,0.96
720575940624273395,CL062_a,,central,intrinsic,right,ACH,0.91
720575940609779465,SIP201f,"CL276, CL278, CL279, VES061, VES062, pIP5",central,intrinsic,right,ACH,0.93
720575940605248898,AVLP469b,AVLP469,central,intrinsic,right,GABA,0.64
720575940618239035,CB2348,,central,intrinsic,left,ACH,0.85
720575940618298205,MTe20,hb602382052,visual_projection,intrinsic,left,GABA,0.8
720575940633941549,LHAV5a2_a3,LHAV5a2_a,central,intrinsic,right,ACH,0.62
720575940630037073,CL062_a,AVLP_pr12,central,intrinsic,left,ACH,0.92
720575940609499086,CB2139,,central,intrinsic,left,GABA,0.79
720575940615892748,CB1995,AVLP524_b,central,intrinsic,right,ACH,0.92
720575940638108787,CB1394_a,,central,intrinsic,left,GLUT,0.44
720575940617797405,CB2963,,central,intrinsic,right,ACH,0.9
720575940607276739,LAL048,,central,intrinsic,right,GABA,0.78
720575940620249478,CB1394_c,,central,intrinsic,left,GLUT,0.44
720575940628217524,Tm5f,,optic,intrinsic,right,ACH,0.82
720575940623484455,Tm5f,,optic,intrinsic,right,ACH,0.76
720575940632831263,Dm15,,optic,intrinsic,right,GLUT,0.59
720575940619165213,CB3337,AVLP231,central,intrinsic,right,ACH,0.72
720575940621231850,CB1190,,central,intrinsic,right,,0.0
720575940630890040,mAL5A,mAL_fru,central,intrinsic,right,GLUT,0.63
720575940630383045,AVLP306,,central,intrinsic,left,ACH,0.74
720575940631064387,CB1911,,central,intrinsic,right,GLUT,0.78
720575940636063406,CB3978,"CL121, CL122, aDT5a",central,intrinsic,right,GABA,0.58
720575940627721154,CB3006,,central,intrinsic,right,ACH,0.87
720575940631968855,WED057,,central,intrinsic,right,GABA,0.74
720575940610683315,LB1e,,sensory,afferent,left,ACH,0.44
720575940629680379,WED168,,central,intrinsic,left,ACH,0.89
720575940628632057,AOTU059,pIP14,central,intrinsic,left,GABA,0.8
720575940622215960,AVLP034,,central,intrinsic,left,ACH,0.73
720575940623330318,Mi9,,optic,intrinsic,right,GLUT,0.6
720575940622557675,CB1638,,central,intrinsic,right,ACH,0.73
720575940625512683,CB1995,,central,intrinsic,right,ACH,0.81
720575940605915616,MTe01b,MC66,visual_projection,intrinsic,left,ACH,0.84
720575940626855430,CB1772,,central,intrinsic,right,ACH,0.72
720575940608620227,CB3414,,central,intrinsic,right,ACH,0.94
720575940639375182,JO-A,,sensory,afferent,right,,0.0
720575940605225900,Tm20,,optic,intrinsic,right,ACH,0.7
720575940618916123,PS247,,central,intrinsic,right,ACH,0.87
720575940650871673,MTe01b,MC66,visual_projection,intrinsic,left,ACH,0.88
720575940626548753,CB2666,PS285,central,intrinsic,right,GLUT,0.68
720575940636422767,MLt4,,optic,intrinsic,right,ACH,0.8
720575940622388918,CB1380,AVLP481,central,intrinsic,right,GABA,0.84
720575940627569920,CB1395,"AVLP480, PVLP110",central,intrinsic,right,GABA,0.67
720575940642253728,AVLP441,,central,intrinsic,right,ACH,0.63
720575940626952963,CB1505,,central,intrinsic,right,ACH,0.69
720575940622367112,PVLP048,,central,intrinsic,right,GABA,0.81
720575940624217834,SLP396,,central,intrinsic,left,ACH,0.88
720575940632839272,aMe5,,visual_projection,intrinsic,right,ACH,0.72
720575940631289135,aMe5,,visual_projection,intrinsic,left,ACH,0.81
720575940630016761,AN_multi_53,,ascending,afferent,left,ACH,0.76
720575940603235500,CB1122,,central,intrinsic,left,GABA,0.55
720575940618825552,CB1550,,central,intrinsic,right,ACH,0.84
720575940631158242,CB3006,AVLP_pr31,central,intrinsic,left,ACH,0.87
720575940625489160,DNge150,,descending,efferent,center,OCT,0.6
720575940626228057,CB3898,,central,intrinsic,center,GABA,0.45
720575940634103671,SMP020,,central,intrinsic,left,ACH,0.78
720575940631078504,VES049,,central,intrinsic,right,GLUT,0.77
720575940630538833,CB2580,,central,intrinsic,left,ACH,0.94
720575940605177534,CB2580,,central,intrinsic,left,ACH,0.93
720575940603197408,FB2E,,central,intrinsic,left,GLUT,0.7
720575940609793326,CL208,,central,intrinsic,left,ACH,0.84
720575940611939026,PFNd,,central,intrinsic,left,ACH,0.76
720575940618576286,CB2519,,central,intrinsic,left,ACH,0.78
720575940626504752,CL086_a,CL086_d,central,intrinsic,right,ACH,0.68
720575940624836810,PFNm,,central,intrinsic,right,ACH,0.8
720575940644631587,PFNm,,central,intrinsic,right,ACH,0.81
720575940638542424,PFNd,,central,intrinsic,left,ACH,0.79
720575940610813538,CL239,,central,intrinsic,right,GLUT,0.88
720575940623889552,FC1A,"FC1B, FC1F",central,intrinsic,right,ACH,0.57
720575940615181273,FR2,,central,intrinsic,left,ACH,0.76
720575940625966833,CB3497,,central,intrinsic,right,GABA,0.47
720575940628950906,CB1380,AVLP481,central,intrinsic,right,GABA,0.85
720575940630431225,CL204,,central,intrinsic,right,ACH,0.82
720575940621504794,PAM05,,central,intrinsic,left,DA,0.79
720575940636461710,PAM13,,central,intrinsic,right,DA,0.78
720575940631505659,CB1055,,central,intrinsic,left,GABA,0.63
720575940606595518,MTe50,,visual_projection,intrinsic,right,ACH,0.9
720575940634043247,CB1359,,central,intrinsic,right,GLUT,0.8
720575940619960325,CB1544,,central,intrinsic,right,GABA,0.81
720575940605743648,CL210,,central,intrinsic,right,ACH,0.78
720575940625706895,PVLP004,PVLP005,central,intrinsic,left,GLUT,0.69
720575940625606192,SMP331b,SMP331,central,intrinsic,right,ACH,0.75
720575940637994173,CL210_a,,central,intrinsic,right,ACH,0.67
720575940625503321,CB1355,,central,intrinsic,left,ACH,0.83
720575940610685538,SLP170,,central,intrinsic,right,GLUT,0.85
720575940634073569,MTe01b,MC66,visual_projection,intrinsic,left,ACH,0.85
720575940626102790,FC1A,"FC1B, FC1F",central,intrinsic,left,ACH,0.59
720575940638267992,SLP224,,central,intrinsic,right,ACH,0.89
720575940626324357,SLP364,,central,intrinsic,right,GLUT,0.69
720575940623218360,Tm4,,optic,intrinsic,right,ACH,0.73
720575940631773523,LC22,,visual_projection,intrinsic,right,ACH,0.87
720575940629749559,CB2616,SLP337,central,intrinsic,right,GLUT,0.75
720575940631223314,LHPV5b3,,central,intrinsic,right,ACH,0.91
720575940630584079,VP1l+_lvPN,,central,intrinsic,left,ACH,0.83
720575940610316642,PVLP049,,central,intrinsic,left,ACH,0.73
720575940635640312,DNp62,DSKMP1B,descending,efferent,left,SER,0.5
720575940626815120,CB0448,,central,intrinsic,left,,0.0
720575940632046540,SMP393b,SMP393,central,intrinsic,right,ACH,0.69
720575940624676071,SIP201f,"CL276, CL278, CL279, VES061, VES062, pIP5",central,intrinsic,left,ACH,0.89
720575940617668537,JO-A,,sensory,afferent,right,,0.0
720575940623392892,PLP115_a,,central,intrinsic,right,ACH,0.95
720575940644598324,AN_GNG_204,,ascending,afferent,right,,0.0
720575940629139968,DNge113,,descending,efferent,right,ACH,0.78
720575940637079667,CL062_b,AVLP_pr12,central,intrinsic,left,ACH,0.74
720575940610409170,CL078b,CL078,central,intrinsic,right,ACH,0.53
720575940618951883,CB1208,"AVLP386, AVLP388",central,intrinsic,right,ACH,0.88
720575940624483722,CB0151,PVLP147,central,intrinsic,left,ACH,0.79
720575940642967662,LHPV4a5,LHPV4k1,central,intrinsic,right,GLUT,0.53
720575940610236740,JO-A,,sensory,afferent,right,ACH,0.57
720575940622483060,CB2374,,central,intrinsic,left,GLUT,0.9
720575940606264422,AVLP461,,central,intrinsic,right,SER,0.59
720575940611240627,SMP106,aSP2,central,intrinsic,right,GLUT,0.95
720575940627033875,PFGs,,central,intrinsic,left,GLUT,0.48
720575940627131218,CB1169,,central,intrinsic,left,GLUT,0.92
720575940626902602,FS1A,,central,intrinsic,left,,0.0
720575940623457100,Li10,,optic,intrinsic,left,ACH,0.92
720575940627558991,Tm16,,optic,intrinsic,left,ACH,0.9
720575940612846643,Tm20,,optic,intrinsic,right,ACH,0.57
720575940639414144,CB1298,,central,intrinsic,right,ACH,0.87
720575940616296763,ATL009,,central,intrinsic,right,GABA,0.78
720575940634660833,CB1842,,central,intrinsic,right,ACH,0.89
720575940625841241,,,ascending,afferent,left,GLUT,0.64
720575940633394283,CB2066,,central,intrinsic,right,GABA,0.7
720575940603622828,CB0955,AVLP377,central,intrinsic,right,ACH,0.91
720575940627932072,Sm09,,optic,intrinsic,right,GLUT,0.73
720575940627445020,MTe03,,visual_projection,intrinsic,right,ACH,0.89
720575940611469518,CB2952,,central,intrinsic,right,GLUT,0.87
720575940627008345,SAD077,,central,intrinsic,left,,0.0
720575940618822429,LC35,,visual_projection,intrinsic,left,ACH,0.78
720575940644870167,FB2M,,central,intrinsic,left,GLUT,0.94
720575940635539263,CB1596,CL274,central,intrinsic,right,ACH,0.85
720575940628287170,AVLP486,,central,intrinsic,right,GABA,0.66
720575940631282247,FB2K,,central,intrinsic,right,GLUT,0.44
720575940632134995,CB1712,SMP352,central,intrinsic,right,ACH,0.83
720575940614336106,FC3,,central,intrinsic,left,ACH,0.82
720575940625681456,LHCENT13_b,,central,intrinsic,left,GABA,0.66
720575940646412323,CB1664,LHAV4b4,central,intrinsic,left,,0.0
720575940626885757,,,central,intrinsic,left,GABA,0.6
720575940635054687,LHPV6h1,,central,intrinsic,right,ACH,0.87
720575940620717667,CB1687,,central,intrinsic,right,GLUT,0.76
720575940633613794,LHAV4g1b,LHAV4g1_a,central,intrinsic,right,GABA,0.66
720575940660196225,CB3356,,central,intrinsic,right,ACH,0.82
720575940618256833,M_vPNml53,,central,intrinsic,right,GABA,0.78
720575940619973254,LHPV6a3,,central,intrinsic,right,ACH,0.97
720575940633791935,PhG11,,sensory,afferent,right,ACH,0.82
720575940623118029,AN_GNG_FLA_2,,ascending,afferent,left,ACH,0.97
720575940619387814,LB2a-b,,sensory,afferent,left,GLUT,0.45
720575940613039587,CL096,,central,intrinsic,left,ACH,0.87
720575940622930456,CB2215,LHAV2k12_a,central,intrinsic,right,ACH,0.93
720575940618570726,CB1243,,central,intrinsic,right,ACH,0.95
720575940613787390,AVLP298,,central,intrinsic,right,ACH,0.74
720575940627728009,CB2493,LHPV2a3,central,intrinsic,right,GABA,0.68
720575940639986877,LC35,,visual_projection,intrinsic,left,ACH,0.86
720575940639606747,AN_GNG_100,,ascending,afferent,left,GABA,0.83
720575940624087369,CB0373,,central,intrinsic,right,GLUT,0.74
720575940620205505,SMP561,,central,intrinsic,left,ACH,0.94
720575940627952683,CB3049,,central,intrinsic,right,ACH,0.95
720575940623952679,CB2082,CL191,central,intrinsic,left,GLUT,0.7
720575940629229506,SMP566b,SMP566,central,intrinsic,left,ACH,0.73
720575940624887324,CB0938,LHAD1i2_b,central,intrinsic,left,ACH,0.87
720575940621054404,CB1896,,central,intrinsic,left,ACH,0.68
720575940613561868,LC10a,LC10,visual_projection,intrinsic,right,ACH,0.67
720575940637637208,PLP106,,central,intrinsic,right,ACH,0.87
720575940620928647,AN_AVLP_SAD_1,,ascending,afferent,right,ACH,0.87
720575940615211195,AN_SPS_IPS_5,,ascending,afferent,right,ACH,0.86
720575940624737511,LHPV5c1,,central,intrinsic,right,ACH,0.94
720575940619997819,CB0025,,central,intrinsic,left,GLUT,0.5
