FAFB,MANC,MAOL
720575940628908548,10477,10046
720575940603022304,13773,33080
720575940614760338,17423,46227
720575940623986615,20423,49150
720575940603390380,18626,49331
720575940603391778,19156,49691
720575940603392546,26107,50223
720575940603404834,165654,50742
720575940617915933,21582,51765
720575940627705426,11037,53194
720575940603544363,12730,53617
720575940624149685,13499,54131
720575940636249524,14069,54643
720575940623374630,14343,57860
720575940626249930,14902,58313
720575940634369643,16342,58380
720575940635716020,17550,58544
720575940637612144,20436,59004
720575940641234421,20917,59350
720575940654864801,21935,59668
720575940604179372,22966,59759
720575940623999999,25447,60027
720575940604198828,25857,60357
720575940638137065,26167,61181
720575940617910804,28277,61419
720575940644025248,29567,61719
720575940611776113,31171,62091
720575940624617959,34115,62130
720575940626697758,100498,62584
720575940644946980,165364,62825
720575940616332742,165680,63101
720575940622308869,14104,64084
720575940638367834,18753,64347
720575940640974288,21246,64832
720575940604495537,22241,64844
720575940625099597,24149,65004
720575940635868596,24164,65214
720575940614261555,25145,65411
720575940613742317,26358,66777
720575940638678854,32357,66867
720575940606014566,37220,66981
720575940614448337,102019,67546
720575940617366155,11951,67811
720575940617777337,12810,67825
720575940635242853,13077,69305
720575940638711878,13192,69840
720575940639163364,13298,71455
720575940615459487,13540,76118
720575940627470760,14080,76252
720575940604731569,14106,77310
720575940609306819,16037,77361
720575940626487226,17137,77386
720575940637290659,18858,78190
720575940638291827,19058,79781
720575940616479965,19603,79828
720575940624717053,20271,80095
720575940604781490,20572,80142
720575940604807392,20695,80501
720575940604809184,21711,80670
720575940604812465,21811,80881
720575940621992820,23379,81041
720575940630673623,23515,81301
720575940635633271,23555,81327
720575940630971589,24103,81734
720575940604912608,24541,81812
720575940632668753,25862,81831
720575940615028341,25987,82003
720575940616333457,26487,82162
720575940604959712,26760,82250
720575940635747064,27116,82299
720575940604965548,28912,82959
720575940624940132,29285,82963
720575940608632329,35407,82979
720575940627056202,100824,83060
720575940605018540,156615,83545
720575940625916444,171637,83686
720575940605681073,196542,83954
720575940629788098,22578,83973
720575940622006554,159210,83979
720575940627958534,15893,84264
720575940630342615,19632,84318
720575940633918489,21367,84478
720575940660165505,21894,84878
720575940605073376,28129,84918
720575940605087404,40244,85026
720575940622349388,154934,85077
720575940625991994,156368,85140
720575940605113056,24139,85429
720575940605140396,25674,85695
720575940620952948,29487,85793
720575940612916338,152301,85889
720575940614216702,24132,86027
720575940617075798,24146,86195
720575940630620985,24526,86371
720575940632093068,26989,86416
720575940605204960,34004,86558
720575940625113580,44882,86617
720575940615970060,157429,86786
720575940621266017,159252,87010
720575940621642630,165227,87098
720575940622574972,13229,87196
720575940625975795,13490,87208
720575940620497279,15185,87349
720575940615753099,16093,87381
720575940617299003,17740,87429
720575940629345383,19561,87479
720575940621381723,20097,87520
720575940623380749,20446,87894
720575940635172975,21023,87925
720575940605426562,21785,87994
720575940613550061,22116,88095
720575940617234059,22540,88148
720575940626296337,23390,88149
720575940631217751,23531,88167
720575940624317367,25595,88320
720575940629921730,26544,88410
720575940641343733,29674,88475
720575940615578783,30887,88621
720575940617963934,40659,88659
720575940623647880,42482,88713
720575940623762701,47109,88743
720575940641346805,103459,88815
720575940646659380,158453,88816
720575940614093279,15335,88850
720575940621705754,24818,88880
720575940622330444,25760,88930
720575940627651093,102212,88933
720575940645029911,18921,88934
720575940605338336,19044,89059
720575940615061666,19100,89062
720575940620657543,20593,89092
720575940620914017,22882,89147
720575940627408773,27122,89167
720575940625026637,34347,89177
720575940628144714,34542,89309
720575940628577167,44845,89417
720575940632485945,100294,89422
720575940620700190,158326,89429
720575940628339912,178721,89535
720575940628420552,13019,89693
720575940608972739,21903,89764
720575940615105130,22358,89825
720575940624446717,22934,89845
720575940634372600,24352,89892
720575940635630584,26566,89953
720575940636849509,37584,89954
720575940619863431,102603,89963
720575940629124355,159648,90016
720575940629477627,18216,90097
720575940620031111,35423,90120
720575940630245431,42680,90133
720575940631876153,13201,90171
720575940637450864,13701,90258
720575940635947700,13072,90311
720575940624454664,29808,90340
720575940614255341,102935,90371
720575940618305108,152478,90419
720575940620656775,12016,90590
720575940622431582,15791,90609
720575940634880412,17964,90645
720575940646966819,18539,90688
720575940631173906,19771,90719
720575940605613926,19969,90733
720575940608419676,20579,90824
720575940620754285,21052,90842
720575940621906312,22151,90877
720575940623114948,23364,90976
720575940632520495,30244,91014
720575940629606394,33858,91034
720575940633668322,47642,91288
720575940617205590,17728,91345
720575940630011434,26588,91388
720575940646783267,28012,91392
720575940629181739,101160,91410
720575940630451415,156376,91443
720575940618908062,26408,91510
720575940630195326,30261,91732
720575940637407814,12702,91856
720575940605676646,15051,91933
720575940605686956,17688,91972
720575940611079010,23231,92000
720575940614341954,27039,92010
720575940631821672,100599,92082
720575940620657428,153483,92114
720575940623159134,17070,92141
720575940605737318,22718,92251
720575940623049752,27239,92258
720575940624817726,31091,92356
720575940639455696,32699,92412
720575940639999139,36719,92439
720575940644933655,42242,92577
720575940616704596,22774,92588
720575940620075686,24337,92592
720575940640566845,24693,92650
720575940617826397,25515,92660
720575940619058772,28847,92755
720575940619987659,39228,92805
720575940614932191,41353,92820
720575940622530892,19929,92891
720575940631306255,26690,92954
720575940620152199,33073,93021
720575940620124513,38657,93107
720575940627633992,22103,93130
720575940637694692,24978,93271
720575940630254583,166171,93407
720575940618881950,32253,93455
720575940622610183,35735,93487
720575940605813350,100871,93499
720575940614677702,14223,93556
720575940617099125,14450,93630
720575940623381453,20310,93668
720575940628823811,21597,93673
720575940638180186,25639,93676
720575940623683255,26315,93679
720575940629701246,32986,93685
720575940613317859,36124,93720
720575940621439216,166401,93737
720575940619763915,166505,93750
720575940614695599,16762,93751
720575940616298290,23975,93781
720575940618040404,43375,93804
720575940627179913,16897,93826
720575940611281870,18254,93879
720575940619934680,19744,93923
720575940632178503,166374,94103
720575940614816150,20942,94133
720575940626906686,24300,94138
720575940631103094,27710,94199
720575940635592372,31871,94283
720575940642508429,165366,94290
720575940605908326,35432,94344
720575940620865473,19305,94357
720575940605938110,21132,94443
720575940617953793,24094,94567
720575940622031130,21972,94703
720575940623305229,14430,94720
720575940625148199,16885,94743
720575940626311461,24911,94831
720575940627998632,25008,94934
720575940644320928,25875,94953
720575940605955174,37211,94973
720575940617645213,37836,94975
720575940635698936,38223,95029
720575940631980136,43848,95171
720575940613110442,101123,95182
720575940624934328,102332,95227
720575940628810570,21262,95322
720575940632680855,25885,95435
720575940605985382,48980,95458
720575940619431047,23698,95470
720575940639544373,27733,95531
720575940626543893,19260,95564
720575940643146788,162970,95614
720575940611239378,22013,95666
720575940628234312,14339,95679
720575940622341363,20551,95798
720575940626501378,24213,95811
720575940632150412,30709,95813
720575940640224600,14085,95824
720575940606053566,16497,95838
720575940616595165,154803,95870
720575940619260795,21315,95902
720575940620440199,27499,95925
720575940622843113,30927,95937
720575940640096419,51546,95995
720575940621731056,28049,96016
720575940634732439,23386,96151
720575940638428479,158961,96169
720575940625867466,29717,96215
720575940645635875,21925,96240
720575940620702703,24900,96265
720575940627844117,29241,96394
720575940629599350,29301,96424
720575940612008154,29418,96565
720575940624483592,29691,96725
720575940612507885,19145,96726
720575940625044715,163596,96778
720575940633731423,13478,96821
720575940606104254,14871,96828
720575940606106801,37492,96884
720575940632426660,30304,96953
720575940634222687,101736,97086
720575940644143982,16102,97102
720575940623805674,20830,97168
720575940626539010,47439,97268
720575940636247141,26196,97287
720575940627056113,29227,97306
720575940631020027,24828,97359
720575940619997269,36453,97408
720575940628211219,38070,97453
720575940607415817,23222,97529
720575940617108786,153640,97559
720575940620191764,157002,97595
720575940639605107,26658,97599
720575940640707536,25173,97629
720575940607599305,32283,97635
720575940613034202,25805,97640
720575940631350287,25475,97646
720575940632887085,28584,97660
720575940630946647,23508,97703
720575940638535502,37504,97731
720575940606192049,30497,97790
720575940623271306,31524,97792
720575940606213664,24878,97853
720575940608209842,34862,97877
720575940612686834,156505,97939
720575940613262870,25172,98010
720575940617509947,41301,98027
720575940618343252,21088,98078
720575940623729190,17028,98099
720575940621682164,15894,98117
720575940608720597,167919,98139
720575940612492211,13401,98448
720575940612863283,39475,98534
